slug,display_name,rendered_hero,team,characters,region,tournament_results,related_videos,sources,classification,notes
blaz,Blaz,,,サガット:main,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
caba,Caba,,,ガイル:reference,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
chris-wong,Chris Wong,公開プロフィールでLukeとの関係を確認できるプレイヤーです。,,ルーク:reference,Hong Kong,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
craime,Craime,公開プロフィールでリュウとの関係を確認できるプレイヤーです。,,リュウ:reference,South America,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
crossoverrd,CrossoverRD,,,サガット:main,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
dogura,Dogura,公開プロフィールでElenaとの関係を確認できるDogura選手です。,,エレナ:main,JP,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
endingwalker,EndingWalker,公開プロフィールでRyuとの関係を確認できるEndingWalker選手です。,,リュウ:reference,GB,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
enzo-yasmine,Enzo,,,ヤスミン:secondary,US,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
go1,GO1,,DetonatioN FocusMe,春麗:reference,JP,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
grustle-grindset,Grustle Grindset,,,イングリッド:main,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
higuchi,Higuchi,,ZETA DIVISION,ガイル:reference,JP,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
hinao,Hinao,公開プロフィールでSagatとの関係を確認できるREJECT所属のHinao選手です。,REJECT,サガット:main,JP,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
inaba,inaba,,,C.ヴァイパー:main,JP,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
jaeger,Jaeger,,,エレナ:main,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
