queue_id,character,session,claim_count,setup,required_gauge,distance,expected_result,result_field,classification,weekend_action,notes
PATCH-S01,AUTHORITATIVE_RUNBOOK,session_1,UNKNOWN,USE_EXISTING_SETUP,USE_EXISTING_VALUE,USE_EXISTING_VALUE,USE_EXISTING_EXPECTED,result,GAME_VERIFICATION_REQUIRED,EXECUTE_DAY2,"Do not invent or renumber claim IDs"
PATCH-S02,AUTHORITATIVE_RUNBOOK,session_2,UNKNOWN,USE_EXISTING_SETUP,USE_EXISTING_VALUE,USE_EXISTING_VALUE,USE_EXISTING_EXPECTED,result,GAME_VERIFICATION_REQUIRED,EXECUTE_DAY2,"Keep patch and side conditions"
PATCH-S03,AUTHORITATIVE_RUNBOOK,session_3,UNKNOWN,USE_EXISTING_SETUP,USE_EXISTING_VALUE,USE_EXISTING_VALUE,USE_EXISTING_EXPECTED,result,GAME_VERIFICATION_REQUIRED,EXECUTE_DAY2,"Keep position and dummy action"
PATCH-S04,AUTHORITATIVE_RUNBOOK,session_4,UNKNOWN,USE_EXISTING_SETUP,USE_EXISTING_VALUE,USE_EXISTING_VALUE,USE_EXISTING_EXPECTED,result,GAME_VERIFICATION_REQUIRED,EXECUTE_DAY2,"29 direct claims total across S01-S08"
PATCH-S05,AUTHORITATIVE_RUNBOOK,session_5,UNKNOWN,USE_EXISTING_SETUP,USE_EXISTING_VALUE,USE_EXISTING_VALUE,USE_EXISTING_EXPECTED,result,GAME_VERIFICATION_REQUIRED,EXECUTE_DAY3,"Record attempt count"
PATCH-S06,AUTHORITATIVE_RUNBOOK,session_6,UNKNOWN,USE_EXISTING_SETUP,USE_EXISTING_VALUE,USE_EXISTING_VALUE,USE_EXISTING_EXPECTED,result,GAME_VERIFICATION_REQUIRED,EXECUTE_DAY3,"Record condition separately"
PATCH-S07,AUTHORITATIVE_RUNBOOK,session_7,UNKNOWN,USE_EXISTING_SETUP,USE_EXISTING_VALUE,USE_EXISTING_VALUE,USE_EXISTING_EXPECTED,result,GAME_VERIFICATION_REQUIRED,EXECUTE_DAY3,"Evidence file required"
PATCH-S08,AUTHORITATIVE_RUNBOOK,session_8,UNKNOWN,USE_EXISTING_SETUP,USE_EXISTING_VALUE,USE_EXISTING_VALUE,USE_EXISTING_EXPECTED,result,GAME_VERIFICATION_REQUIRED,EXECUTE_DAY3,"PASS does not auto-publish"
GENERIC-IMPORT,MULTI,claim_level_import,85,AUTHORITATIVE_QUEUE_REQUIRED,PER_CLAIM,PER_CLAIM,PER_CLAIM,result,GAME_VERIFICATION_REQUIRED,DO_NOT_EXECUTE_YET,"Claim-level source is absent; aggregate count cannot define tests"
JP-COPY-PUBLIC,JP,code_regression,2,CONCRETE_MOVE_NAMES,N/A,N/A,NO_VAGUE_COPY,result,SOURCE_RESOLVED,NO_GAME_CHECK,"Public V2 resolved"
JP-COPY-LEGACY,JP,db_copy_candidate,1,OLD_DB_SNAPSHOT,N/A,N/A,MATCH_APPROVED_COPY,result,CROSSCHECK_REQUIRED,DB_APPROVAL_ONLY,"Do not edit migration history"
