priority,player_slug,player_name,video_id,character,classification,rights_state,notes
P0,tokido,ときど,WEsKeYBCqc4,JP,RELATION_READY,OFFICIAL_TOURNAMENT,"URL re-probe before DB write"
P0,tokido,ときど,uPrVOCsysRc,JP,RELATION_READY,OFFICIAL_TOURNAMENT,"URL re-probe before DB write"
P0,tokido,ときど,3wP0NtK1ngI,JP,RELATION_READY,OFFICIAL_TOURNAMENT,"URL re-probe before DB write"
P0,tokido,ときど,OkDDXmNFhwY,JP,RELATION_READY,OFFICIAL_TOURNAMENT,"URL re-probe before DB write"
P0,tokido,ときど,6-LsC5hynes,JP,RELATION_READY,OFFICIAL_TOURNAMENT,"Public confirmed previously"
P0,ryusei,りゅうせい,mwhNc0qi3Fs,JP,RELATION_READY,PLAYER_CHANNEL,"Exact ID and player/character confirmed"
P0,ryusei,りゅうせい,UBsoBb01LOw,JP,RELATION_READY,PLAYER_CHANNEL,"Exact ID and player/character confirmed"
P0,ryusei,りゅうせい,hXb9uM0bOco,JP,RELATION_READY,PLAYER_CHANNEL,"Fresh public cross-reference"
P0,ryusei,りゅうせい,zfoUNpRa20Y,JP,RELATION_READY,PLAYER_CHANNEL,"Fresh public cross-reference"
P0,ryusei,りゅうせい,RPQg5ZnqTqo,JP,RELATION_READY,PLAYER_CHANNEL,"Public re-probe required before write"
P1,kakeru,Kakeru,aIHPU9LTA78,JP,NEEDS_PLAYER_CONFIRMATION,THIRD_PARTY,"Do not publish without identity/rights review"
P1,kakeru,Kakeru,F1NG2ey-A-0,JP,NEEDS_PLAYER_CONFIRMATION,THIRD_PARTY,"Do not publish without identity/rights review"
P1,kisaragi-ren,如月れん,,UNKNOWN,BLOCKED,UNKNOWN,"本人channel confirmed; exact SF6 video unresolved"
P1,shuto,Shuto,,Ryu,BLOCKED,UNKNOWN,"Exact candidate unresolved"
