slug,display_name,categories,japan_relevance,sf6_play,public_identity,source,state,notes
kakeru,Kakeru,pro|competitive_player,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/,READY_FOR_REVIEW,"CAPCOM CUP 11 winner; JP confirmed"
kisaragi-ren,如月れん,vtuber|streamer,CONFIRMED,CONFIRMED,CONFIRMED,https://store.vspo.jp/pages/kisaragi-ren,READY_FOR_REVIEW,"Character and tournament placement remain source-required"
tokido,ときど,pro|streamer,CONFIRMED,CONFIRMED,CONFIRMED,https://varrel.jp/sf6/tokido/,READY_FOR_REVIEW,"Existing published player; category expansion candidate"
ryusei,りゅうせい,pro|streamer,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/,READY_FOR_REVIEW,"Existing published player; team cross-check remains"
shuto,Shuto,pro|streamer,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/news/49869/,READY_FOR_REVIEW,"Existing published player"
tachikawa,Tachikawa,pro|streamer,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/,READY_FOR_REVIEW,"Existing published player"
higuchi,Higuchi,pro|streamer,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/,READY_FOR_REVIEW,"Existing published player"
hinao,Hinao,pro|competitive_player,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/,READY_FOR_REVIEW,"Existing published player"
yamaguchi,Yamaguchi,pro|competitive_player,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/,READY_FOR_REVIEW,"Existing published player"
go1,GO1,pro|streamer,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/,READY_FOR_REVIEW,"Existing published player"
nemo,Nemo,pro|streamer,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/,READY_FOR_REVIEW,"Existing published player"
john-takeuchi,John Takeuchi,pro|competitive_player,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/,READY_FOR_REVIEW,"Existing published player"
naruo,Naruo,pro|competitive_player,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/,READY_FOR_REVIEW,"Existing published player"
dogura,Dogura,former_pro|youtuber|streamer,CONFIRMED,CONFIRMED,CONFIRMED,https://www.youtube.com/@dogura,READY_FOR_REVIEW,"Category history needs final primary cross-check before DB write"
sako,sako,pro|streamer,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/,READY_FOR_REVIEW,"Existing published player"
takepi,takepi,pro|competitive_player,CONFIRMED,CONFIRMED,CONFIRMED,https://sf.esports.capcom.com/,READY_FOR_REVIEW,"Existing published player"
haibani,ハイタニ,former_pro|youtuber|streamer,CONFIRMED,CONFIRMED,CONFIRMED,https://www.youtube.com/@haibanitv,READY_FOR_REVIEW,"New record candidate; exact former-team history is not proposed"
kazunoko,かずのこ,pro|youtuber|streamer,CONFIRMED,CONFIRMED,CONFIRMED,https://www.youtube.com/@kazunoko,READY_FOR_REVIEW,"New record candidate; character and rank remain unknown"
