route_or_ui,item,before,after,reason
/auth,Login helper,"ログインすると、完了した診断結果をアカウントに保存できます。お気に入りやランク記録は、この端末のブラウザに保存され、別の端末には自動で引き継がれません。","ログインすると、診断結果をアカウントに保存できます。お気に入りやランク記録は、この端末のブラウザに保存されるため、別の端末には自動で引き継がれません。",冗長語を削除し因果関係を明確化
/auth,Logout helper,アカウントを切り替える場合は、このブラウザからログアウトしてください。,別のアカウントを使う場合は、いったんログアウトしてください。,自然な利用者表現へ変更
/contact,Data helper,返信先メールアドレスとお問い合わせ内容を保存します。ログイン中はアカウントIDも紐づきます。迷惑送信対策用の識別情報はIPアドレスを復元できない形で保存し、すべて180日以内に削除します。,お問い合わせへの返信に必要なメールアドレスと内容を保存します。ログイン中の場合は、アカウント情報と関連付けて管理します。迷惑行為対策用の情報を含め、保存したデータは180日以内に削除します。,内部実装語を避け法的意味を維持
/contact,Mail fallback heading,メールで問い合わせる,フォームが利用できない場合,フォームをPrimaryとして明示
/contact,Mail fallback CTA,メールアドレスのみ,メールで直接問い合わせる（メールアドレス）,行動とFallbackの役割を明示
/contact,Bug report heading,不具合についてご連絡いただく場合,不具合を報告する場合,短く自然な見出し
/contact,Submit CTA,サイト内で送信,問い合わせを送信,行動を具体化
/contact,Success message,お問い合わせを受け付けました。入力内容はこの画面に再表示されません。,お問い合わせを受け付けました。,不要な実装説明を削除
/privacy,Account relation,ログイン中の送信はアカウントIDも紐づきます。,ログイン中に送信した場合は、利用中のアカウントを識別する情報を関連付けます。,内部用語を自然な日本語へ変更
/feedback,Primary destination,メールがPrimary・ContactがSecondary,問い合わせフォームがPrimary・メールがFallback,実際の送信経路に合わせる
/search,Result CTA,開く →,詳しく見る →,遷移内容を明確化
/favorites,Hero helper,よく確認するキャラクターを端末内に保存します。,よく見るキャラクターをこの端末に保存します。,自然な日本語へ変更
/diagnosis,Fallback description,診断内容を確認する,この診断で分かることを見る,利用価値を具体化
/matchup-card,Related heading,次に確認する,次に見る,確認するの連発を回避
/characters/[slug],Shared quick actions,関連動画を確認する / 開く →,関連動画を見る / プレイヤーを見る・動画を見る →,遷移先を具体化
/diagnosis/[slug],Save failure,診断結果をアカウントへ保存できませんでした。同じ保存IDで再試行できます。,診断結果をアカウントに保存できませんでした。下のボタンからもう一度お試しください。,保存の内部識別子を利用者向けの再操作に置換
/players,Rank filter unavailable,確認日つきデータの連携後に利用できます,ランクでの絞り込みは現在利用できません,未提供機能の現在の状態を推測や時期の約束なしに説明
/me/training,Completion and verification notice,完了状態はこのページ内だけで使い、保存しません。未確認のキャラクター固有技・コンボ・確定状況は表示しません。,練習の完了状態は保存されず、ページを開き直すと消えます。技やコンボなど、確認が済んでいない情報は表示しません。,保存範囲と掲載基準を利用者の行動に沿って明確化
/sources,Source type labels,"community_combo_database / community_structured_data / player_reference / strategy_guide / structured_dataset / tournament_report / video_playlist / 未知の内部値","コミュニティコンボデータ / コミュニティ攻略データ / プレイヤー資料 / 攻略ガイド / データ集 / 大会レポート / 動画プレイリスト / 情報源",公開画面へのenum漏れを防ぎ未知値も安全な一般表記へ変換
