priority,player_slug,player_name,video_id,character,classification,public_state,rights_state,notes
P0,tokido,ときど,WEsKeYBCqc4,JP,RELATION_READY,NEEDS_WRITE_TIME_REPROBE,OFFICIAL_TOURNAMENT,"Existing exact relation candidate"
P0,tokido,ときど,uPrVOCsysRc,JP,RELATION_READY,NEEDS_WRITE_TIME_REPROBE,OFFICIAL_TOURNAMENT,"Existing exact relation candidate"
P0,tokido,ときど,3wP0NtK1ngI,JP,RELATION_READY,NEEDS_WRITE_TIME_REPROBE,OFFICIAL_TOURNAMENT,"Existing exact relation candidate"
P0,tokido,ときど,OkDDXmNFhwY,JP,RELATION_READY,NEEDS_WRITE_TIME_REPROBE,OFFICIAL_TOURNAMENT,"Existing exact relation candidate"
P0,tokido,ときど,6-LsC5hynes,JP,RELATION_READY,PUBLIC_CONFIRMED,OFFICIAL_TOURNAMENT,"Previously public-confirmed"
P0,ryusei,りゅうせい,mwhNc0qi3Fs,JP,RELATION_READY,NEEDS_PUBLIC_REPROBE,PLAYER_CHANNEL,"Identity/character metadata exists; public check remains"
P0,ryusei,りゅうせい,UBsoBb01LOw,JP,RELATION_READY,PUBLIC_CONFIRMED,PLAYER_CHANNEL,"Fresh exact-ID public cross-reference"
P0,ryusei,りゅうせい,hXb9uM0bOco,JP,RELATION_READY,PUBLIC_CONFIRMED,PLAYER_CHANNEL,"Fresh exact-ID public cross-reference"
P0,ryusei,りゅうせい,zfoUNpRa20Y,JP,RELATION_READY,PUBLIC_CONFIRMED,PLAYER_CHANNEL,"Fresh exact-ID public cross-reference"
P0,ryusei,りゅうせい,RPQg5ZnqTqo,JP,RELATION_READY,PUBLIC_CONFIRMED,PLAYER_CHANNEL,"Fresh本人X exact-ID cross-reference"
P1,kakeru,Kakeru,aIHPU9LTA78,JP,NEEDS_PLAYER_CONFIRMATION,UNKNOWN,THIRD_PARTY,"Do not publish without identity/rights review"
P1,kakeru,Kakeru,F1NG2ey-A-0,JP,NEEDS_PLAYER_CONFIRMATION,UNKNOWN,THIRD_PARTY,"Do not publish without identity/rights review"
P1,kisaragi-ren,如月れん,,JP,BLOCKED,UNRESOLVED,UNKNOWN,"JP use supported by secondary event record; exact本人video unresolved"
P1,shuto,Shuto,,Ryu,BLOCKED,UNRESOLVED,UNKNOWN,"Exact candidate unresolved"
